,season,yr,mnth,hr,weekday,workingday,weathersit,casual,registered,cnt,temp,atemp,hum,windspeed
0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,13.0,16.0,-1.3346947980874135,-1.0933159079223258,0.9496831479127722,-1.6512654451603888
1,1.0,0.0,1.0,1.0,6.0,0.0,1.0,8.0,32.0,40.0,-1.438565097908116,-1.1817680468051945,0.8974999048069924,-1.6512654451603888
2,1.0,0.0,1.0,2.0,6.0,0.0,1.0,5.0,27.0,32.0,-1.438565097908116,-1.1817680468051945,0.8974999048069924,-1.6512654451603888
3,1.0,0.0,1.0,3.0,6.0,0.0,1.0,3.0,10.0,13.0,-1.3346947980874135,-1.0933159079223258,0.6365836892780934,-1.6512654451603888
4,1.0,0.0,1.0,4.0,6.0,0.0,1.0,0.0,1.0,1.0,-1.3346947980874135,-1.0933159079223258,0.6365836892780934,-1.6512654451603888
5,1.0,0.0,1.0,5.0,6.0,0.0,2.0,0.0,1.0,1.0,-1.3346947980874135,-1.2696382637217287,0.6365836892780934,-0.8433138914090624
6,1.0,0.0,1.0,6.0,6.0,0.0,1.0,2.0,0.0,2.0,-1.438565097908116,-1.1817680468051945,0.8974999048069924,-1.6512654451603888
7,1.0,0.0,1.0,7.0,6.0,0.0,1.0,1.0,2.0,3.0,-1.542435397728818,-1.2696382637217287,1.2105993634416705,-1.6512654451603888
8,1.0,0.0,1.0,8.0,6.0,0.0,1.0,1.0,7.0,8.0,-1.3346947980874135,-1.0933159079223258,0.6365836892780934,-1.6512654451603888
9,1.0,0.0,1.0,9.0,6.0,0.0,1.0,8.0,6.0,14.0,-0.919213598804604,-0.7406711963235203,0.6887669323838732,-1.6512654451603888
10,1.0,0.0,1.0,10.0,6.0,0.0,1.0,12.0,24.0,36.0,-0.607602699342497,-0.4764786236075834,0.6887669323838732,0.636427737727016
11,1.0,0.0,1.0,11.0,6.0,0.0,1.0,17.0,30.0,56.0,-0.7114729991631994,-0.829123335206389,0.9496831479127722,0.906045499525729
12,1.0,0.0,1.0,12.0,6.0,0.0,1.0,17.0,55.0,84.0,-0.39986209970109243,-0.3001562678081803,0.7409501754896529,0.906045499525729
13,1.0,0.0,1.0,13.0,6.0,0.0,2.0,17.0,47.0,94.0,-0.19212150005968756,-0.12383391200877748,0.48003395996075393,1.040403514602679
14,1.0,0.0,1.0,14.0,6.0,0.0,2.0,17.0,71.0,106.0,-0.19212150005968756,-0.12383391200877748,0.48003395996075393,0.906045499525729
15,1.0,0.0,1.0,15.0,6.0,0.0,2.0,17.0,70.0,110.0,-0.29599179988039,-0.2117041289253116,0.7409501754896529,1.040403514602679
16,1.0,0.0,1.0,16.0,6.0,0.0,2.0,17.0,52.0,93.0,-0.39986209970109243,-0.3001562678081803,1.0018663910185515,1.040403514602679
17,1.0,0.0,1.0,17.0,6.0,0.0,2.0,15.0,52.0,67.0,-0.29599179988039,-0.2117041289253116,1.0018663910185515,0.906045499525729
18,1.0,0.0,1.0,18.0,6.0,0.0,3.0,9.0,26.0,35.0,-0.39986209970109243,-0.3001562678081803,1.3149658496532302,0.636427737727016
19,1.0,0.0,1.0,19.0,6.0,0.0,3.0,6.0,31.0,37.0,-0.39986209970109243,-0.3001562678081803,1.3149658496532302,0.636427737727016
20,1.0,0.0,1.0,20.0,6.0,0.0,2.0,11.0,25.0,36.0,-0.5037323995217946,-0.3880264847247144,1.2627826065474503,0.636427737727016
21,1.0,0.0,1.0,21.0,6.0,0.0,2.0,3.0,31.0,34.0,-0.5037323995217946,-0.3880264847247144,1.2627826065474503,0.09809394577440259
22,1.0,0.0,1.0,22.0,6.0,0.0,2.0,11.0,17.0,28.0,-0.5037323995217946,-0.3880264847247144,1.6280653082879084,0.3677117075731151
23,1.0,0.0,1.0,23.0,6.0,0.0,2.0,15.0,24.0,39.0,-0.19212150005968756,-0.12383391200877748,1.3149658496532302,1.040403514602679
24,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,13.0,17.0,-0.19212150005968756,-0.12383391200877748,1.3149658496532302,1.040403514602679
25,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,16.0,17.0,-0.29599179988039,-0.2117041289253116,1.6280653082879084,0.636427737727016
26,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,8.0,9.0,-0.39986209970109243,-0.3001562678081803,1.9411647669225873,0.906045499525729
27,1.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,4.0,6.0,-0.19212150005968756,-0.12383391200877748,1.6280653082879084,0.09809394577440259
